Group,Keywords
0,"coat, jacket"
1,blazer
2,"hoodies, sweater, sweatshirt"
3,vest
4,cardigan
5,"raincoat, windbreaker"
6,"jeans, denim pants"
7,palazzo
8,"pants, trousers"
9,"sweatpants, joggers, trackpants"
10,"leggings, compression pants, tights"
11,"jumpsuits, bodysuits, overall"
12,playsuits
13,"singlet, tank tops, camisole"
14,"shapewear, corset"
15,"panty-hose, stocking"
16,panties
17,brief
18,"shorts, hot pants"
19,"trunks, boxer"
20,"bandage bra, sport bra, push-up, silicone bra, nipple cover, bikini"
21,"night gown, baju tidur, night dress, pyjamas"
22,"swimsuit, bikini, diving suit, board shorts, rash guard"
23,"baju kurung, baju kebaya, baju kemeja"
24,"blouse muslimah, jubah muslimah"
25,"telekung, sejadah"
26,"saree, anarkali, punjabi suit"
27,baju melayu
28,cheongsam
29,"shirt, t-shirt, kurta, button up, polo, baju"
30,"dress, gown, mini dress"
31,skirt
32,"skorts, shorts"
33,"blouse, crop top, peplum"
34,"hats, caps, visors, bonnets"
35,"hijab, shawl, scarves, pashmina, bandana, headband, tudung"
36,"beanie, balaclava, ski mask, innerscarf"
37,"helmet, safety hat, miner hat"
38,"earring, ear cuffs"
39,"spectacles, sunglasses, eye patch, glasses, cermin mata, shades"
40,contact lens
41,"necklace, neck pendant, neck choker"
42,"necktie, bow tie"
43,"belts, waist chain, suspenders"
44,"brooch, cincin, diamond ring, gold ring, silver ring, gold pin, silver pin"
45,"shoes, sneakers, plimsolls, slip on, low tops"
46,"flip flops, sandals, slipper, selipar"
47,"boots, heels, wedges, platform, high-tops"
48,"oxford, espadrilles, brogue, loafers"
49,"sport shoes, spike, futsal shoes, toe shoes, hiking boots, skiing boots, wet shoes, safety boots, swimfin"
50,"flats, ballet flats"
51,"socks, socks shoes"
52,"spray, mist, deodorant, edt, edp, fragrance, cologne, perfume, minyak wangi, pen perfume"
53,"supplement pil, supplement tablets, supplement drinks"
54,"fat burner, protein powder"
55,"compact powder, loose powder, foundation concealer, bb cream, bb cushion, blusher"
56,"shading, highlight stick, contour stick, contour cream, cream blusher, blusher stick, blusher tint, cheek stain"
57,"cream eye shadow, eyeshadow stick, eyebrow pencil, eyeshadow pen, eyeliner pen"
58,"mascara, eyelashes glue, eyelid tape, fake eyelashes, falsies, eyelash curler"
59,"make-up brush, make-up sets, make-up sponges, facial sponges, foundation sponges, beauty sponges, beauty blender, facial tool"
60,"hair dryer, hair straightener, hair curler, hair comb"
61,"lipstick, lipbalm, lip liner, lip gloss, lip tint, lip stain"
62,"styling wax, hair pomade, hair spray, styling gel, dry shampoo, hair perfume, hair oil, hair mask, hair vitamin, hair serum, hair treatment"
63,"electric toothbrush, mouth toothbrush, toothpaste, dental equipment, mouthwash, teeth floss"
64,feminine wash
65,"adult toy, sex toy, dildo, vibrator, condom, lubricant, kondom, minyak lintah"
66,"razor blade, electric shaver, hair removal wax, hair removal cream"
67,"sanitary pad, sanitary napkin, tampon, menstrual cup"
68,"sunscreen cream, sunblock lotion, sunblock cream, sunblock gel"
69,"skin lotion, body lotion, hand cream, oinment, skin serum, aloe vera gel, moisturizing gel, moisturizing cream, night cream, day cream, whitening cream"
70,"body scrub, face scrub"
71,"face toner, face serum, face moisturizer, facial essence, facial cleanser, skin essence, face mist"
72,"face mask, eye mask, lip mask, blackhead remover, acne gel, scar gel, acne cream"
73,"wound bandage, wound plaster, wound swabs"
74,"heart rate monitor, glucose meter, stethoscope, thermometer, nebulizer, pulse oximeter, blood pressure monitor"
75,weighing scale
76,"designing desktop, mini pcs, gaming desktop"
77,"laptop, ultrabook, netbook, 2-1 laptop, gaming laptop, traditional laptop, notebook, designing laptop"
78,"solid state drives, external hard drives, internal hard drives, flash drives, pendrives, thumbdrive, card reader"
79,"printer, inkjet printer, laser printer, dot metric printer, 3d printer"
80,"scanner, flatbed scanners, handheld scanners, sheetfed scanner"
81,"printer ink, printer cartridge, printer toner"
82,"lcd projecter, led projecter, laser projecter"
83,"network cables, modems, routers, network adapters, network converters"
84,"mouse, mice, gaming mouse, wireless mouse"
85,"mousepad, gaming mousepad"
86,"keyboard, gaming keyboard, wireless keyboard, mechanical keyboard"
87,"monitor screen, gaming monitor"
88,gaming chair
89,"ram, cooling fans, heatsinks, graphic cards, laptop chargers, power supply, computer softwares"
90,webcam
91,"macbooks, traditional laptops, gaming laptops, 2-in-1 laptops"
92,"handheld consoles, stationary consoles"
93,"joystick, controller, vr box"
94,"toy vehicles, action figures, family games"
95,"collectable merchandise, album, record, pokemon merchandise"
96,"puzzle, lego, nanoblock, loz, tico, gundam"
97,"rubiks cube, fidget toys, yoyo, kendama, desk toys, slime"
98,"board game, mahjong, trading card, deck box, card sleeve"
99,"darts fights, dart shaft, dart accessories, dart tips"
100,"pool cue, snooker cue, pool table, snooker table, pool ball, snooker ball"
101,"novel, magazine"
102,"guitar, violin, ukulele, bass guitar, cello, harp, viola"
103,"piano, keyboard, organ, electric keyboard, digital piano, synthesizers"
104,"drum, electric drum, bongo"
105,"flute, clarinet, saxophone, piccolo, trumpet, trombone, tuba"
106,"cd, dvd, blu-ray, dvd-r, dvd-rw, dvd-rom, dvd-ram"
107,"fishing rod, fishing reel, rod fishing, pancing, camping tent, sleeping bag"
108,"racket, treadmill, football, basketball, skateboard, scooter"
109,yoga mat
110,"dumbell, barbell, elastic band"
111,"headphones, earphones, headset, bluetooth earphone, bluetooth headphone, wireless headphone, wireless earphone"
112,"usb speakers, bluetooth speakers, hi-fi"
113,"microphones, bluetooth microphones"
114,"usb fan, usb light, mini fan"
115,"smart tag, walkie talkie"
116,"phone battery, powerbank, phone cable, phone charger, phone wireless charger, phone usb cable"
117,"smart watch, fitness tracker"
118,"mobile phone, cell phone, smartphone, iphone"
119,"tablets, e-book, e-reader, android tablets, ipads, tablets 2-in-1"
120,"landline telephone, cordless phone"
121,"tempered glass, screen protector, privacy screen"
122,"phone cover, phone bumper, phone case, phone holder, phone stand"
123,"action camera, sport camera, drones"
124,"instant camera, compact camera, dslr, selfie camera, bridge camera, camcorder, smartphone camera"
